country_id;has_tin;tin_regex
AT;1;^(\d{2}\-?)?\d{3}\/?\d{4}$
BE;1;^\d{11}$
BG;1;^\d{10}$
CY;1;^0\d{7}[A-Z]$
CZ;1;^\d{6}\/?\d{3,4}$
DE;1;^\d{11}$
DK;1;^\d{6}\-?\d{4}$
EE;1;^\d{11}$
EL;1;^\d{9}$
ES;1;?
FI;1;^\d{6}[A\+\-]\d{3}[A-Z\d]$
FR;1;^\d{2}\s?\d{2}\s?\d{3}\s?\d{3}\s?\d{3}$
HR;1;^\d{11}$
HU;1;^\d{10}$
IE;1;^\d{7}[A-Z](W)?$
IT;1;^(?:[A-Z][AEIOU][AEIOUX]|[B-DF-HJ-NP-TV-Z]{2}[A-Z]){2}(?:[\dLMNP-V]{2}(?:[A-EHLMPR-T](?:[04LQ][1-9MNP-V]|[15MR][\dLMNP-V]|[26NS][0-8LMNP-U])|[DHPS][37PT][0L]|[ACELMRT][37PT][01LM]|[AC-EHLMPR-T][26NS][9V])|(?:[02468LNQSU][048LQU]|[13579MPRTV][26NS])B[26NS][9V])(?:[A-MZ][1-9MNP-V][\dLMNP-V]{2}|[A-M][0L](?:[1-9MNP-V][\dLMNP-V]|[0L][1-9MNP-V]))[A-Z]$
LT;1;^\d{11}$
LU;1;^\d{13}$
LV;1;^((0[1-9])|([12]\d)|3[0-1])((0[1-9])|1[0-2])\d{7}$
MT;1;^(\d{3,7}[A-Z])|\d{9}$
NL;1;^\d{9}$
PL;1;^\d{10,11}$
PT;1;^\d{9}$
RO;1;^\d{13}$
SE;1;^\d{6}[\-\+]\d{4}$
SI;1;^\d{8}$
SK;0;null
