country_id;has_vat;vat_regex
AD;1;^(AD)?[EF]\-?\d{6}\-?[A-Z]$
AL;1;^(AL)?[J-L]\d{8}[A-Z]$
AT;1;^(AT)?U\d{8}$
BA;1;^((\d{12,13})|(\d{2}\-?\d{2}\-?\d{4}\-?\d{2})|(\d\-?\d{3,5})|(\d\-?\d{4}\-?\d{2}))$
BE;1;^(BE)?0\d{9}$
BG;1;^(BG)?\d{9,10}$
BY;1;^(УНП)?\d{9}$
CH;1;^(CHE\-?)?\d{3}(.)?\d{3}(.)?\d{3}\s?(MWST|TVA|IVA)$
CY;1;^(CY)?\d{8}[A-Z]$
CZ;1;^(CZ)?\d{8,10}$
DE;1;^(DE)?\d{9}$
DK;1;^(DK)?\d{8}$
EE;1;^(EE)?\d{9}$
ES;1;^(ES)?[A-Z\d]\d{7}[A-Z\d]$
FI;1;^(FI)?\d{8}$
FR;1;^(FR)?[A-HJ-NP-Z\d]{2}\d{9}$
GB;1;^(GB)?(\d{9}(\d{3})?|[A-Za-z]{2}\d{3})$
GR;1;^(EL|GR)?\d{9}$
HR;1;^(HR)?\d{11}L$
HU;1;^(HU)?\d{8}$
IE;1;^(IE)?(\d{7}[A-Z]{1,2}|\d[A-Z]\d{5}[A-Z])$
IS;1;^(IS)?d{5,6}$
IT;1;^(IT)?\d{11}$
LI;1;^((FL|LI)\-?)?(\d{4}.?\d{3}.?\d{3}\-?\d)|\d{5})$
LT;1;^(LT)?(\d{9}|\d{12})$
LU;1;^(LU)?\d{8}$
LV;1;^(LV)?\d{11}$
MC;1;^(FR|MC)?[A-HJ-NP-Z\d]{2}\d{9}$
MD;1;^(MD)?(\d{7,8}|\d{13})$
ME;1;^(ME)?\d{8}$
MK;1;^(MK)?\d{13}$
MT;1;^(MT)?\d{8}$
NL;1;^(NL)?\d{9}B\d{2}$
NO;1;^(NO)?\d{9}(MVA)?$
PL;1;^(PL)?\d{10}$
PT;1;^(PT)?\d{9}$
RO;1;^(RO)?\d{2,10}$
RS;1;^(RS)?\d{8,9}$
RU;1;^(RU)?(\d{10}|\d{12,13})$
SE;1;^(SE)?\d{12}$
SI;1;^(SI)?\d{8}$
SK;1;^(SK)?\d{10}$
SM;1;^(SM)?\d{1,5}$
TR;1;^(TR)?\d{10}$
UA;1;^(UA)?\d{12}$
UZ;1;^(UZ)?[4-7]\d{8}$
